root_id,supervoxel_id,position
720575941403170851,73888349819325009,"[53531, 35518, 828]"
720575941403181091,73043856035202184,"[30517, 33061, 489]"
720575941403204387,73676900325417010,"[48155, 24791, 2280]"
720575941403217443,74099662277359706,"[59530, 41130, 1073]"
720575941403223843,72973693986983220,"[28612, 40789, 2505]"
720575941403237744,74028881552197544,"[59067, 29338, 2469]"
720575941403322992,74099318814172548,"[60469, 31103, 1575]"
720575941403459184,73747269203371298,"[49867, 26216, 2620]"
720575941403464816,73536574818298139,"[43673, 37070, 966]"
720575941403482736,73466137488194099,"[41918, 35801, 1288]"
720575941403564656,73677174733556697,"[48432, 33856, 506]"
720575941403638384,74451780943317666,"[71183, 49530, 1346]"
720575941403667824,74029362252601630,"[57345, 43836, 1050]"
720575941403789168,73466206879617808,"[40981, 38111, 4095]"
720575941403848048,73325537841961108,"[38190, 40876, 2961]"
720575941404370544,73466412232128986,"[41142, 44994, 812]"
720575941404567408,74099456387334889,"[59787, 35049, 2077]"
720575941404572528,73325193841782031,"[37560, 29187, 1368]"
720575941404613232,74169481870035231,"[62682, 25750, 3493]"
720575941405458544,73114499791964896,"[31670, 41838, 894]"
720575941405459312,73254619408753595,"[35184, 24211, 3106]"
720575941405463408,73536094586736998,"[43350, 23234, 3848]"
720575941405465712,73043787919881756,"[30118, 32025, 2574]"
720575941405954160,73185075298654931,"[34744, 48431, 3242]"
720575941405958768,73325331884931871,"[37288, 33276, 3754]"
720575941405960304,73958237997388445,"[55489, 21890, 2790]"
720575941406022000,73958718697836445,"[57005, 36792, 1384]"
720575941406023280,74028813101193741,"[59267, 28034, 3520]"
720575941406028656,73536231690566485,"[44542, 28221, 2722]"
720575941406042480,74803762304600781,"[80034, 53782, 2159]"
720575941406046576,74310562821388067,"[67184, 35787, 2927]"
720575941406056560,73466206208394597,"[41707, 38271, 1503]"
720575941406686126,73889037215870510,"[53576, 57097, 1749]"
720575941406686255,74169618839309280,"[62653, 30478, 1725]"
720575941406720815,73817775655345950,"[51981, 28752, 3808]"
720575941406723631,73747269471669782,"[50593, 24856, 3603]"
720575941406724911,74028813168243050,"[57709, 28181, 3739]"
720575941406725550,74239850681420010,"[65146, 25190, 3785]"
720575941406769711,73958718697797625,"[55303, 35447, 1376]"
720575941406826799,74310287943690927,"[65787, 27548, 3002]"
720575941406830383,73888143996872346,"[54968, 29440, 2262]"
720575941406894127,73536369129708477,"[44476, 31907, 2794]"
720575941406916782,74169482004046549,"[62132, 26592, 3931]"
720575941407049902,73465999982782020,"[42512, 32047, 1216]"
720575941407051182,73747681184611744,"[51050, 38747, 1316]"
720575941407116974,73677312507498091,"[48947, 38709, 1555]"
720575941407209134,73747475495930760,"[50434, 32339, 3105]"
720575941407257391,73326087061027096,"[37745, 55544, 973]"
720575941407266734,73817981209616152,"[53136, 35247, 1435]"
720575941407316142,74592381261088685,"[73883, 45664, 2359]"
720575941407326126,74381755997696673,"[69345, 59975, 2058]"
720575941407600234,73396112073548099,"[39131, 45583, 414]"
720575941407851055,73677312776518713,"[47283, 38475, 2796]"
720575941407895343,73466000653399496,"[42935, 32337, 3604]"
720575941407926319,73325743530757589,"[38408, 46122, 1220]"
720575941407956910,73325399866296881,"[37946, 35907, 962]"
720575941407999150,74522424700038865,"[72132, 59334, 2011]"
720575941408040878,73184662847327406,"[33444, 36539, 2617]"
720575941408073775,72974037651001286,"[28258, 51009, 2595]"
720575941408080046,73114843859064413,"[31660, 51691, 2666]"
720575941408091951,73396249780673697,"[39443, 50269, 1347]"
720575941408093487,73325675415132035,"[37326, 44864, 3479]"
720575941408124334,73114980828337381,"[31491, 55429, 946]"
720575941408129454,73465931531443404,"[42050, 30163, 2126]"
720575941408150831,73817912423333874,"[52667, 33819, 1275]"
