root_id,supervoxel_id,position,type
720575941394674582,73958856673732466,"[56665, 40725, 3451]",T5b
720575941394713750,73888075277333433,"[53750, 27124, 2240]",Mi2
720575941394717334,73747131898533791,"[49479, 20563, 3093]",Mi15
720575941394784406,73607150190493346,"[45269, 43958, 2706]",Pm06
720575941394793878,72973624864767387,"[27086, 38704, 943]",Dm16
720575941394827670,72903256657410614,"[25029, 37787, 2952]",Tm25
720575941394837142,74099525644040892,"[60583, 37261, 4265]",T3
720575941394846102,73255100378543582,"[35569, 36881, 3055]",TmY11
720575941394852246,73888693483660763,"[54653, 46150, 1029]",Tm35
720575941394853014,73395631372322203,"[39553, 32236, 1544]",TmY15
720575941394853526,73184800151896658,"[33866, 39142, 2053]",LPi09
720575941394854806,73536368727084915,"[44456, 31369, 1268]",Tm9
720575941394865558,73959337777261041,"[55984, 53472, 3755]",T5c
720575941394868374,73395974634282478,"[40612, 41579, 317]",Dm12
720575941394870422,73114843255012149,"[31943, 53128, 324]",Mi1
720575941394945686,74098975820770399,"[61258, 21101, 3883]",Mi4
720575941395000214,73184525005625954,"[33947, 30855, 1062]",Lawf1
720575941395081622,74310562553261864,"[65977, 36463, 2012]",Sm40
720575941399615011,74803693786457454,"[80166, 51573, 2937]",Li18
720575941399887651,74311043857679015,"[66144, 50695, 2902]",Li17
720575941399911203,73326087396474124,"[38219, 56231, 2201]",T3
720575941399926051,73818325008042287,"[53197, 45603, 2101]",T5c
720575941399938083,73536781580333454,"[43854, 44688, 3139]",T2a
720575941399947555,73818187568974484,"[51672, 41662, 2066]",Y3
720575941399948067,73818256154940639,"[52469, 43942, 1790]",T4b
720575941399952931,73818325075076752,"[51965, 46286, 2326]",T5a
720575941399965987,73818119252675616,"[52370, 40422, 3784]",T4a
720575941399975715,74170374820866717,"[62241, 53107, 2047]",T5c
720575941399979299,73958306984931262,"[56245, 23718, 3673]",Tm2
720575941399981859,74098975820982638,"[60438, 22434, 3957]",Tm4
720575941399990307,73817569160909234,"[52248, 23550, 2350]",Dm15
720575941399992355,74240743363250243,"[63668, 51326, 1126]",T4d
720575941399994915,73959131014784810,"[56499, 48386, 1405]",T4c
720575941400000291,73887938241040578,"[54888, 23634, 3783]",Dm3q
720575941400002851,74381618693339935,"[68145, 57215, 2709]",T5d
720575941400012835,73536918281154141,"[44923, 47416, 339]",Tm25
720575941400022819,74099594296249827,"[59556, 40801, 3952]",T5d
720575941400071203,74240674643533908,"[64022, 51001, 1041]",T2a
720575941400074531,73606531849421985,"[45354, 25539, 3195]",Tm20
720575941400091683,73817775319453625,"[51283, 29875, 2392]",Tm1
720575941400095267,74029705783201746,"[57462, 54708, 915]",T4d
720575941400101155,74240812149806801,"[63590, 54044, 1383]",T4a
720575941400120355,74170581247350544,"[62212, 57880, 2953]",Y3
720575941400124707,73888900246386662,"[53744, 53152, 3443]",T4d
720575941400125219,73676900593558749,"[47527, 26353, 3192]",Tm1
720575941400127011,73887938039671432,"[55166, 22668, 2998]",Tm5e
720575941400135971,74169550321057120,"[62909, 27256, 2465]",Tm2
720575941400138019,74099594296417407,"[60861, 39021, 4014]",T5a
720575941400153891,73888212581965615,"[53532, 31922, 1695]",Dm2
720575941400162595,74240674643771075,"[63980, 49844, 1134]",T4d
720575941400171555,74099731802094725,"[60636, 44246, 4120]",T5a
720575941400178467,74099869241426298,"[59679, 47749, 4259]",T4d
720575941400178979,73959543533318845,"[57136, 60992, 2296]",T5d
720575941400183075,74169825601739055,"[62097, 35058, 4033]",T4b
720575941400230179,74099318747618958,"[59654, 31800, 1519]",Mi4
720575941400313891,74028538290339012,"[58848, 19687, 3746]",Mi1
720575941400314659,73958444289559579,"[57158, 27258, 3116]",Mi1
720575941400351267,74311043924595601,"[66286, 51087, 3092]",Li06
720575941400357411,73325124920923221,"[37136, 27936, 638]",Tlp14
720575941400360739,73466137354746450,"[41097, 35339, 1007]",Tm2
720575941400369955,74170305899959831,"[63265, 50600, 1260]",Tm1
720575941400377379,73536574952485717,"[44158, 37475, 1472]",Dm2
720575941400395299,73677450080932646,"[48098, 42948, 2162]",T4a
720575941400396067,73606738209060390,"[46623, 31613, 3939]",TmY5a
720575941400401443,73254963140690224,"[35915, 34505, 3730]",Dm3v
720575941400402979,74451369163634140,"[70324, 37574, 3511]",Li10
720575941400404259,73395837262694026,"[40296, 37730, 666]",Dm15
720575941400430627,73677312373674680,"[47449, 37993, 1196]",Tm20
720575941400436515,73959474880754000,"[55694, 58529, 2491]",T5c
720575941400441635,73466206006997793,"[42866, 37879, 711]",Dm15
720575941400457251,74311250016139776,"[66375, 55517, 2920]",T5d
720575941400463139,73677724958887578,"[48511, 50374, 2184]",Y12
720575941400469027,73396456073617410,"[40064, 55615, 1974]",T4d
720575941400471587,73606393940773292,"[45224, 22409, 1469]",Mi9
720575941400475683,73958719033267533,"[56933, 36468, 2623]",T4a
720575941400484899,73817637813817510,"[51992, 25096, 2294]",Tm2
